% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 99.52   10.870096      339690        32        31 futex
  0.17    0.018094           3      4696           read
  0.10    0.011130         337        33           set_robust_list
  0.08    0.009008           1      6033           mremap
  0.06    0.006279         202        31           clone3
  0.01    0.001517          16        94           rt_sigprocmask
  0.01    0.001435          29        48           mprotect
  0.01    0.001264          14        86        55 openat
  0.01    0.001164           8       133           mmap
  0.00    0.000537           7        70        36 newfstatat
  0.00    0.000441          13        33           rseq
  0.00    0.000334          10        32           mbind
  0.00    0.000268           8        31           close
  0.00    0.000159          19         8           write
  0.00    0.000048          16         3           fstat
  0.00    0.000033           4         8           pread64
  0.00    0.000031           7         4           munmap
  0.00    0.000030          15         2           set_tid_address
  0.00    0.000029          29         1           readlink
  0.00    0.000025          12         2           getdents64
  0.00    0.000023           2        10           brk
  0.00    0.000012          12         1           sched_getaffinity
  0.00    0.000011           5         2         2 access
  0.00    0.000009           4         2           getrandom
  0.00    0.000008           8         1           rt_sigaction
  0.00    0.000008           2         4         2 arch_prctl
  0.00    0.000008           4         2           prlimit64
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         2           execve
------ ----------- ----------- --------- --------- ------------------
100.00   10.922001         957     11406       126 total
