path,filename,extension,size_bytes,sha256,last_modified,language,probable_stage,purpose,direct_inputs,direct_outputs,referenced_by,calls_or_imports,hard_coded_paths,status,replacement,confidence,notes
00_CHECK_ENVIRONMENT.bat,00_CHECK_ENVIRONMENT.bat,.bat,467,2d3bee16cefb8719629162c71376aad89ba42e0db080a36b781b6a77f2bbd0e5,2026-06-26T09:33:50,Windows BAT,unclassified,@echo off,00_INPUT\kero.itp; 00_INPUT\kero.pdb; 00_INPUT\kero.top; 00_INPUT\kero_ATP.itp; kero.itp; kero.pdb; kero.top; kero_ATP.itp,00_INPUT\kero.itp; 00_INPUT\kero.pdb; 00_INPUT\kero.top; 00_INPUT\kero_ATP.itp; kero.itp; kero.pdb; kero.top; kero_ATP.itp,,,,UNKNOWN,,0.5,No definitive runtime evidence found in static audit.
00_INPUT/H2O.itp,H2O.itp,.itp,561,061971ee8931da54351645a39a65de0381a0fa894d153fc4d3261ad81ae11ce1,2025-07-01T16:45:22,GROMACS ITP,water model,[ moleculetype ],,,,,,ACTIVE,,0.8,Located in protected/current workflow directory.
00_INPUT/illite.itp,illite.itp,.itp,62055,c5d76a2cb4a97ecad261c66a041b97b29b8a6860a3e46b31af8338ec0ad5ad2a,2026-07-01T20:17:47,GROMACS ITP,illite wall,; Created by AuToFF,,,01_SCRIPTS/build_illite_under_kerogen.py; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/RMS_0p000/RMS_0p000_build_report.json; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/RMS_0p300/RMS_0p300_build_report.json; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/RMS_0p600/RMS_0p600_build_report.json; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/RMS_0p900/RMS_0p900_build_report.json,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
00_INPUT/illite.top,illite.top,.top,376,4a29f1801381cdc46818dbd4d4ba2391dd59d9086ac99aa4672c34d31cf0b48f,2026-07-01T20:17:47,GROMACS TOP,illite wall,; Created by AuToFF,illi.itp; illi_ATP.itp,illi.itp; illi_ATP.itp,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
00_INPUT/illite_ATP.itp,illite_ATP.itp,.itp,671,a04929593780e6fcb18127d49adf9eb4e6ffa4f99ea981921c3b48edbcc6e103,2026-07-01T20:17:47,GROMACS ITP,illite wall,; Created by AuToFF,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
00_INPUT/kero.itp,kero.itp,.itp,466340,d3b8fcfdbb862300636e620710ac5b2236dcc876828693af766842f4bed71f61,2026-05-29T16:07:57,GROMACS ITP,water model,; Created by AuToFF,,,00_CHECK_ENVIRONMENT.bat; 00_INPUT/kero.top; 01_BULK/01_INITIAL/topol.top; 01_BULK/03_RUN/topol.top; 01_SCRIPTS/build_graphene_cases.py; 01_SCRIPTS/extract_kerogen_only_from_final.py; 01_SCRIPTS/extract_standard_kerogen_plate.py; 01_SCRIPTS/prepare_bulk.py; 01_SCRIPTS/prepare_raspa2_gcmc.py; 02_GRAPHENE_CASES/RMS_0p000/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p300/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p600/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p900/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/topol.top; 4nm_pore_raspa2_config.json; 8nm_pore_raspa2_config.json; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/00_INPUT_FORCEFIELD_COPY/kero.top; KEROGEN_ONLY_FINALS/kero.top; README_V32_4NM_PORE_RASPA2_GCMC.md,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
00_INPUT/kero.top,kero.top,.top,387,37744175bffa1d1a8eb5047386445a7980a4804a0ac9f1b1eb7d2613c82d74a7,2026-06-01T16:07:03,GROMACS TOP,unclassified,; Created by AuToFF,kero.itp; kero_ATP.itp,kero.itp; kero_ATP.itp,00_CHECK_ENVIRONMENT.bat; 00_INPUT/PUT_kero_ATP.itp_HERE.txt; 01_SCRIPTS/build_graphene_cases.py; 01_SCRIPTS/extract_kerogen_only_from_final.py; 01_SCRIPTS/extract_standard_kerogen_plate.py; 01_SCRIPTS/prepare_bulk.py; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/00_INPUT_FORCEFIELD_COPY/PUT_kero_ATP.itp_HERE.txt,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
00_INPUT/kero_ATP.itp,kero_ATP.itp,.itp,3910,9e4250fd9a062de7ceb95ed2233e1dab48bd37d8a925933e27d56053171eb2c5,2026-05-20T16:22:16,GROMACS ITP,unclassified,; Created by AuToFF,,,00_CHECK_ENVIRONMENT.bat; 00_INPUT/PUT_kero_ATP.itp_HERE.txt; 00_INPUT/kero.top; 01_BULK/01_INITIAL/topol.top; 01_BULK/03_RUN/topol.top; 01_SCRIPTS/build_graphene_cases.py; 01_SCRIPTS/extract_kerogen_only_from_final.py; 01_SCRIPTS/extract_standard_kerogen_plate.py; 01_SCRIPTS/prepare_bulk.py; 02_GRAPHENE_CASES/RMS_0p000/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p300/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p600/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p900/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/topol.top; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/00_INPUT_FORCEFIELD_COPY/PUT_kero_ATP.itp_HERE.txt; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/00_INPUT_FORCEFIELD_COPY/kero.top; KEROGEN_ONLY_FINALS/kero.top; README_V32_4NM_PORE_RASPA2_GCMC.md,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
00_INPUT/PUT_kero_ATP.itp_HERE.txt,PUT_kero_ATP.itp_HERE.txt,.txt,68,02391cfc357042ac5f4abd587e027e7a12642492469b59817017f2c9ba244625,2026-06-26T09:33:50,Text,unclassified,Copy the kero_ATP.itp file referenced by kero.top into this folder.,kero.top; kero_ATP.itp,kero.top; kero_ATP.itp,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BUILD_BULK_0P1.bat,01_BUILD_BULK_0P1.bat,.bat,222,75f1d5adac80787d04013e58b01deb4025e92aa2fc4c4bbc2add86c41a66c905,2026-06-26T09:33:50,Windows BAT,bulk density,@echo off,,,,,,UNKNOWN,,0.5,No definitive runtime evidence found in static audit.
